Seconds,Temperature,Humidity
0.486,71,37
10.702,71,37
20.918,71,37
30.110,71,36
40.326,71,36
50.542,71,37
60.758,71,37
70.974,71,36
80.166,71,36
90.382,71,36
100.598,71,36
110.814,71,36
120.6,71,36
130.222,71,36
140.438,71,36
150.654,71,36
160.870,71,36
170.62,71,36
180.278,71,36
190.494,71,36
200.710,71,36
210.926,71,36
220.118,71,36
230.334,73,36
240.550,73,36
250.766,73,36
260.982,73,36
270.174,73,36
280.390,73,36
290.606,73,36
300.822,73,36
310.14,73,36
320.230,73,36
330.446,73,37
340.662,73,36
350.878,71,33
360.70,71,32
370.286,69,31
380.502,69,31
390.717,68,31
400.933,68,31
410.125,66,31
420.340,66,32
430.556,64,32
440.772,64,32
450.988,62,33
460.180,62,33
470.396,62,33
480.612,60,34
490.828,60,34
500.20,60,34
510.236,59,35
520.452,59,35
530.667,59,35
540.883,59,36
550.75,57,36
560.291,57,36
570.507,57,36
580.723,57,37
590.939,55,37
600.130,55,37
610.346,55,37
620.561,55,37
630.777,55,38
640.993,53,38
650.185,53,38
660.401,53,38
670.617,53,42
680.833,53,50
690.25,55,55
700.241,55,56
710.457,57,57
720.673,57,57
730.889,59,56
740.81,59,55
750.297,60,54
760.513,60,53
770.729,60,52
780.945,62,51
790.137,62,50
800.353,62,50
810.569,62,49
820.785,62,48
840.217,64,48
850.433,64,47
860.649,64,46
870.865,64,46
880.57,64,45
890.273,66,45
900.489,66,45
910.705,66,45
920.921,66,44
930.113,66,44
940.329,66,44
950.545,66,43
960.761,66,43
970.977,66,43
980.169,68,43
990.385,68,42
1000.601,68,42
1010.816,68,42
1020.7,68,42
