Temperature,Humidity
22.0,33.0
22.0,33.0
22.0,33.0
22.0,33.0
22.0,33.0
22.0,33.0
22.0,33.0
22.0,33.0
22.0,33.0
22.0,33.0
22.0,34.0
22.0,34.0
22.0,34.0
22.0,36.0
22.0,38.0
22.0,40.0
22.0,41.0
22.0,42.0
22.1,42.0
22.1,41.0
22.1,40.0
22.1,40.0
22.1,39.0
22.1,38.0
22.1,38.0
22.1,37.0
22.1,37.0
22.1,36.0
22.1,36.0
22.1,36.0
22.1,35.0
22.1,35.0
22.1,35.0
22.1,35.0
22.1,34.0
22.1,34.0
22.1,34.0
22.1,34.0
22.1,34.0
22.1,34.0
22.1,34.0
22.1,34.0
22.1,34.0
22.1,34.0
22.1,34.0
22.1,34.0
22.1,33.0
22.1,33.0
22.1,33.0
22.1,33.0
22.1,33.0
22.1,33.0
22.1,33.0
22.1,33.0
22.1,33.0
22.1,33.0
22.1,33.0
22.1,33.0
22.1,33.0
22.1,33.0
22.1,33.0
22.1,33.0
22.1,33.0
22.1,33.0
22.1,33.0
22.1,33.0
22.1,33.0
22.1,33.0
22.1,33.0
22.1,33.0
22.1,33.0
22.1,33.0
22.1,33.0
22.1,33.0
22.1,33.0
22.1,33.0
22.1,33.0
22.1,33.0
22.1,33.0
22.1,33.0
22.1,33.0
22.1,33.0
22.1,33.0
22.1,33.0
22.1,33.0
22.1,33.0
22.1,33.0
